,portfolio
0,99938.22080956039
1,99390.5962490819
2,99319.07824648544
3,99276.16794379757
4,99643.97481429359
5,99772.7057223572
6,100097.60229016533
7,99513.19853924723
8,99468.2453639266
9,100222.24745296343
10,100604.35942058872
11,100361.1977128908
12,100557.36087828534
13,100357.11196762529
14,100565.53486316637
15,100557.36087828534
16,101045.72716631394
17,100731.04745601957
18,100669.7463109369
19,100585.96857819392
20,100600.27118097321
21,100203.8591049186
22,100320.3302828357
23,100420.45598534071
24,100122.1242448084
25,100442.93257300103
26,100532.84141799227
27,100001.56482727581
28,99901.43912477078
29,99725.7096744038
30,99566.32569944888
31,98663.1564929709
32,97947.97646700643
33,98632.50592042957
34,98279.00165271285
35,97704.81475930852
36,97465.7412912261
37,97835.59103435487
38,98158.44223518028
39,98170.7044596768
40,97369.70133398661
41,97273.66387109709
42,96809.81704336157
43,97392.17792164693
44,97565.86449938115
45,97036.63327564743
46,96466.53212750863
47,96605.47989308601
48,96668.82640515143
49,96987.5918607113
50,97275.70674372985
51,98577.33339324518
52,98007.23473945634
53,98836.84307070512
54,99433.50655176977
55,99372.2054066871
56,99319.07824648544
57,99345.64307376125
58,99537.7179995403
59,100195.6851200376
60,99770.66284972444
61,99370.16253405434
62,98924.70654871363
63,98677.4590957502
64,98225.8744925112
65,98001.10362720808
